Customer_ID;Customer_Name;Customer_Age;Customer_Type;Region
CUST-00001;Nandi Nkosi;25;Consumer;Gauteng
CUST-00002;Kagiso Mokoena;26;Small Business;KwaZulu-Natal
CUST-00003;Nandi Mthembu;47;Small Business;KwaZulu-Natal
CUST-00004;Aiden Mokoena;38;Consumer;Free State
CUST-00005;Liam Jacobs;27;Consumer;Gauteng
CUST-00006;Jason Nkosi;24;Consumer;KwaZulu-Natal
CUST-00007;Zanele Dlamini;22;Consumer;Gauteng
CUST-00008;Aiden Khumalo;18;Consumer;Western Cape
CUST-00009;Liam Williams;46;Consumer;Western Cape
CUST-00010;Thabo Mahlangu;49;Small Business;Limpopo
CUST-00011;Kayla Mthethwa;40;Small Business;KwaZulu-Natal
CUST-00012;Chloe Nkosi;18;Small Business;Western Cape
CUST-00013;Aiden Botha;31;Consumer;Free State
CUST-00014;Thabo Molefe;36;Consumer;Western Cape
CUST-00015;Jason Van Wyk;49;Consumer;Gauteng
CUST-00016;Leah Maseko;27;Small Business;Free State
CUST-00017;Jason Botha;42;Consumer;Limpopo
CUST-00018;Jason Mahlangu;36;Consumer;Free State
CUST-00019;Lerato Maseko;33;Consumer;Free State
CUST-00020;Aiden Botha;58;Consumer;Western Cape
CUST-00021;Amahle Pillay;36;Small Business;Free State
CUST-00022;Lerato Mthethwa;34;Consumer;Western Cape
CUST-00023;Ayesha Mahlangu;39;Consumer;KwaZulu-Natal
CUST-00024;Sipho Mokoena;27;Consumer;Gauteng
CUST-00025;Naledi Mokoena;30;Consumer;Gauteng
CUST-00026;Nandi Molefe;52;Consumer;Western Cape
CUST-00027;Mpho Molefe;35;Small Business;Western Cape
CUST-00028;Neo Pretorius;28;Consumer;Western Cape
CUST-00029;Chloe Molefe;25;Small Business;KwaZulu-Natal
CUST-00030;Sipho Mthembu;22;Consumer;Free State
CUST-00031;Thabo Pillay;33;Corporate;Western Cape
CUST-00032;Nandi Ndlovu;48;Small Business;Gauteng
CUST-00033;Leah Maseko;38;Consumer;Free State
CUST-00034;Kayla Sithole;24;Consumer;KwaZulu-Natal
CUST-00035;Leah Jacobs;33;Consumer;Free State
CUST-00036;Leah Maseko;38;Small Business;KwaZulu-Natal
CUST-00037;Nandi Peters;33;Consumer;Western Cape
CUST-00038;Sipho Mabena;41;Consumer;Gauteng
CUST-00039;Ayesha Van Wyk;18;Consumer;Gauteng
CUST-00040;Thabo Mabena;34;Consumer;Gauteng
CUST-00041;Liam Pretorius;60;Consumer;Western Cape
CUST-00042;Jason Dlamini;48;Consumer;Gauteng
CUST-00043;Mia Khumalo;19;Consumer;Gauteng
CUST-00044;Kayla Williams;26;Small Business;Free State
CUST-00045;Chloe Molefe;68;Consumer;Western Cape
CUST-00046;Kayla Mthembu;18;Consumer;Gauteng
CUST-00047;Daniel Jacobs;46;Consumer;Western Cape
CUST-00048;Thabo Nkosi;44;Consumer;Western Cape
CUST-00049;Zanele Maseko;44;Consumer;Gauteng
CUST-00050;Leah Molefe;29;Consumer;KwaZulu-Natal
CUST-00051;Naledi Ndlovu;39;Consumer;Western Cape
CUST-00052;Naledi Mthembu;33;Consumer;Gauteng
CUST-00053;Nandi Mthembu;23;Consumer;Gauteng
CUST-00054;Leah Van Wyk;37;Consumer;KwaZulu-Natal
CUST-00055;Kagiso Mthethwa;31;Consumer;Western Cape
CUST-00056;Leah Maseko;42;Corporate;KwaZulu-Natal
CUST-00057;Nandi Mabena;49;Consumer;Gauteng
CUST-00058;Sipho Sithole;23;Consumer;Limpopo
CUST-00059;Kayla Mthethwa;39;Consumer;Free State
CUST-00060;Ayesha Sithole;53;Consumer;Western Cape
CUST-00061;Ayesha Naidoo;39;Consumer;Western Cape
CUST-00062;Liam Mthethwa;34;Consumer;Western Cape
CUST-00063;Kagiso Molefe;44;Small Business;Western Cape
CUST-00064;Liam Pretorius;30;Consumer;Gauteng
CUST-00065;Nandi Mokoena;59;Consumer;Free State
CUST-00066;Kayla Dlamini;48;Small Business;Gauteng
CUST-00067;Lerato Naidoo;40;Consumer;Gauteng
CUST-00068;Mpho Dlamini;22;Consumer;Western Cape
CUST-00069;Leah Molefe;18;Consumer;Gauteng
CUST-00070;Lerato Dlamini;41;Consumer;Western Cape
CUST-00071;Leah Mthethwa;42;Consumer;Free State
CUST-00072;Ethan Mabena;47;Small Business;Gauteng
CUST-00073;Kagiso Mahlangu;52;Consumer;Western Cape
CUST-00074;Daniel Peters;18;Consumer;KwaZulu-Natal
CUST-00075;Neo Sithole;50;Consumer;Free State
CUST-00076;Liam Mabena;35;Consumer;KwaZulu-Natal
CUST-00077;Mpho Mokoena;40;Consumer;KwaZulu-Natal
CUST-00078;Liam Jacobs;35;Consumer;Limpopo
CUST-00079;Nandi Pillay;37;Consumer;Gauteng
CUST-00080;Daniel Ndlovu;44;Corporate;Western Cape
CUST-00081;Mia Peters;51;Consumer;Limpopo
CUST-00082;Amahle Mthembu;48;Consumer;Western Cape
CUST-00083;Sipho Jacobs;38;Small Business;Free State
CUST-00084;Jason Nkosi;51;Corporate;KwaZulu-Natal
CUST-00085;Kagiso Molefe;24;Consumer;Gauteng
CUST-00086;Daniel Dlamini;39;Consumer;Gauteng
CUST-00087;Thabo Sithole;39;Consumer;Gauteng
CUST-00088;Jason Mabena;30;Consumer;Western Cape
CUST-00089;Jason Naidoo;33;Consumer;Western Cape
CUST-00090;Nandi Molefe;50;Consumer;Gauteng
CUST-00091;Liam Dlamini;44;Corporate;Gauteng
CUST-00092;Kagiso Maseko;39;Small Business;Free State
CUST-00093;Liam Dlamini;34;Consumer;Gauteng
CUST-00094;Jason Molefe;29;Consumer;KwaZulu-Natal
CUST-00095;Lerato Mahlangu;30;Small Business;Gauteng
